"","station","grdd","gdd","qual","lat","long"
"932","USC00092318","5927R",5927,"R",33.5972,-83.8436
"933","USC00092450","6407S",6407,"S",31.7672,-84.7931
"934","USC00092475","4827R",4827,"R",34.5292,-83.99
"935","USC00092485","5582C",5582,"C",33.9881,-84.7475
"936","USC00092493","5569R",5569,"R",34.77,-84.8872
"937","USC00092517","5536R",5536,"R",34.1175,-83.3045
"938","USC00092783","6909R",6909,"R",31.4889,-82.8206
"939","USC00092839","6517S",6517,"S",32.5575,-82.9036
"940","USC00092966","6558S",6558,"S",32.2003,-83.2058
"941","USC00093060","5232C",5232,"C",34.1406,-82.855
"942","USC00093271","5936R",5936,"R",33.2631,-84.2842
"943","USC00093325","7314R",7314,"R",30.8264,-82.3606
"944","USC00093386","6840R",6840,"R",31.7108,-83.2517
"945","USC00093465","7782S",7782,"S",30.74,-82.1278
"946","USC00093506","5975R",5975,"R",33.0161,-83.9417
"947","USC00093538","7431S",7431,"S",31.8717,-81.6289
"948","USC00093621","5362S",5362,"S",34.3006,-83.86
"949","USC00093754","6984R",6984,"R",31.9881,-81.9522
"950","USC00093915","6203R",6203,"R",33.0286,-84.735
"951","USC00094133","5586S",5586,"S",34.3519,-82.93
"952","USC00094170","6477R",6477,"R",32.2842,-83.4681
"953","USC00094204","6938R",6938,"R",31.8878,-82.5808
"954","USC00094230","4820R",4820,"R",34.6997,-83.7261
"955","USC00094429","6862R",6862,"R",31.0767,-82.8003
"956","USC00094594","6653R",6653,"R",32.8294,-83.2389
"957","USC00094648","5056S",5056,"S",34.4758,-84.4461
"958","USC00094674","7447R",7447,"R",31.65,-81.8333
"959","USC00094676","6750R",6750,"R",31.5075,-81.8628
"960","USC00094700","5760R",5760,"R",33.5311,-84.3544
"961","USC00094941","5192R",5192,"R",34.6639,-85.3203
"962","USC00094949","6096R",6096,"R",33.0536,-85.0317
"963","USC00095314","6479S",6479,"S",33.0125,-82.3914
"964","USC00095394","6588R",6588,"R",32.0306,-84.7753
"965","USC00095550","6648R",6648,"R",32.4567,-83.94
"966","USC00095666","5910R",5910,"R",33.4522,-84.0678
"967","USC00095811","6997R",6997,"R",32.3972,-82.0819
"968","USC00095863","6494R",6494,"R",32.8753,-82.2156
"969","USC00095874","6336S",6336,"S",33.0831,-83.2497
"970","USC00095882","6476R",6476,"R",32.8703,-81.9672
"971","USC00095988","5899S",5899,"S",33.3328,-83.6975
"972","USC00096087","7141R",7141,"R",31.1769,-83.7492
"973","USC00096148","6426R",6426,"R",32.6089,-85.0756
"974","USC00096219","6957R",6957,"R",31.2739,-81.9197
"975","USC00096244","7063R",7063,"R",31.2644,-83.2392
"976","USC00096335","5881R",5881,"R",33.4544,-84.8178
"977","USC00097087","6265S",6265,"S",32.0467,-84.3711
"978","USC00097171","6746R",6746,"R",31.6953,-82.9239
"979","USC00097276","6975S",6975,"S",30.7836,-83.5692
"980","USC00097600","5878S",5878,"S",34.2453,-85.1514
"981","USC00097777","6328S",6328,"S",32.9744,-82.8045
"982","USC00097808","7376R",7376,"R",31.3972,-81.2811
"983","USC00097827","3968R",3968,"R",34.6647,-83.7342
"984","USC00098064","5969S",5969,"S",33.5636,-83.0767
"985","USC00098476","6601R",6601,"R",31.7078,-82.1969
"986","USC00098496","6890R",6890,"R",32.5806,-82.3822
"987","USC00098535","6004R",6004,"R",32.6875,-84.5197
"988","USC00098661","6194S",6194,"S",32.9028,-84.3367
"989","USC00098703","6794R",6794,"R",31.4461,-83.4767
"990","USC00098740","5487R",5487,"R",34.5786,-83.3319
"991","USC00098950","5742S",5742,"S",33.8722,-83.5358
"992","USC00099124","6452R",6452,"R",32.6094,-83.6164
"993","USC00099141","5977S",5977,"S",33.4028,-82.6222
"994","USC00099157","5864S",5864,"S",33.7264,-82.7058
"995","USC00099186","7034S",7034,"S",31.2514,-82.3128
"996","USC00099194","6494R",6494,"R",33.0725,-82.0061
"997","USC00099291","5920S",5920,"S",32.8694,-85.1892
"998","USC00099466","5702R",5702,"R",33.9275,-83.7261
"999","USC00099486","5495R",5495,"R",33.9664,-83.2911
"1000","USC00099502","7076R",7076,"R",30.9589,-81.7072
"1001","USC00100010","2860S",2860,"S",42.9536,-112.8253
"1002","USC00100227","2929R",2929,"R",42.8572,-112.88
"1003","USC00100347","2854R",2854,"R",42.5031,-112.5758
"1004","USC00100375","2814R",2814,"R",43.6356,-113.2989
"1005","USC00100448","3335S",3335,"S",43.5936,-115.9236
"1006","USC00100470","2394R",2394,"R",44.0425,-111.2739
"1007","USC00100667","2312R",2312,"R",47.9803,-116.5594
"1008","USC00100803","2508R",2508,"R",42.3353,-111.385
"1009","USC00100915","2967R",2967,"R",43.1969,-112.3531
"1010","USC00101017","3222S",3222,"S",43.7383,-116.2022
"1011","USC00101079","2740S",2740,"S",48.6928,-116.3103
"1012","USC00101180","4062R",4062,"R",44.8364,-116.8981
"1013","USC00101195","4148S",4148,"S",42.8819,-115.8017
"1014","USC00101220","3264S",3264,"S",42.6006,-114.7453
"1015","USC00101363","2374S",2374,"S",48.0864,-116.0572
"1016","USC00101380","3934R",3934,"R",43.6667,-116.6833
"1017","USC00101408","3400S",3400,"S",44.5733,-116.6753
"1018","USC00101514","2200R",2200,"R",44.5228,-116.0481
"1019","USC00101551","3346S",3346,"S",42.5503,-114.8661
"1020","USC00101663","2937R",2937,"R",44.5036,-114.2397
"1021","USC00101671","2281S",2281,"S",43.9772,-113.8289
"1022","USC00101956","2724R",2724,"R",47.6822,-116.7967
"1023","USC00102159","2503S",2503,"S",46.0336,-116.3919
"1024","USC00102246","2199R",2199,"R",46.2333,-116.4833
"1025","USC00102260","2609R",2609,"R",43.465,-113.5581
"1026","USC00102390","2138R",2138,"R",44.4667,-115.5667
"1027","USC00102444","3821R",3821,"R",43.5764,-116.7475
"1028","USC00102575","1745R",1745,"R",45.5525,-115.4606
"1029","USC00102676","2132S",2132,"S",43.7306,-111.1125
"1030","USC00102707","2532S",2532,"S",44.2436,-112.2006
"1031","USC00102845","3303S",3303,"S",46.5022,-116.3217
"1032","USC00102875","2371S",2371,"S",45.8356,-115.4611
"1033","USC00102892","2295R",2295,"R",46.7744,-116.1761
"1034","USC00102942","3504S",3504,"S",43.8544,-116.4664
"1035","USC00103108","2591R",2591,"R",43.3428,-114.79
"1036","USC00103110","2443R",2443,"R",43.3167,-114.75
"1037","USC00103143","2890R",2890,"R",46.0931,-115.5356
"1038","USC00103297","2805S",2805,"S",43.0428,-112.4133
"1039","USC00103448","3097S",3097,"S",44.1011,-115.9694
"1040","USC00103554","2434R",2434,"R",45.5394,-113.9275
"1041","USC00103631","3851R",3851,"R",42.9403,-115.3231
"1042","USC00103732","2727S",2727,"S",42.5872,-111.7275
"1043","USC00103760","3815S",3815,"S",43.0175,-116.1772
"1044","USC00103771","2552S",2552,"S",45.9414,-116.1175
"1045","USC00103882","2241R",2241,"R",43.7186,-113.5472
"1046","USC00103932","3603R",3603,"R",42.8114,-114.9239
"1047","USC00103964","2934R",2934,"R",43.9664,-112.2642
"1048","USC00104140","3181S",3181,"S",42.5972,-114.1378
"1049","USC00104150","2169R",2169,"R",46.6311,-115.8086
"1050","USC00104268","2491R",2491,"R",43.2994,-115.0733
"1051","USC00104384","2907R",2907,"R",43.7828,-113.0033
"1052","USC00104442","2720S",2720,"S",43.8383,-115.8319
"1053","USC00104455","2992S",2992,"S",43.5133,-112.0128
"1054","USC00104456","2281S",2281,"S",43.3456,-111.7847
"1055","USC00104598","2152R",2152,"R",44.4189,-111.3714
"1056","USC00104670","3411R",3411,"R",42.7325,-114.5192
"1057","USC00104831","2575S",2575,"S",47.5339,-116.1222
"1058","USC00104845","2215R",2215,"R",43.6842,-114.3603
"1059","USC00105013","2868R",2868,"R",46.0714,-115.9336
"1060","USC00105038","3693R",3693,"R",43.4833,-116.4167
"1061","USC00105177","2252R",2252,"R",44.6831,-113.3622
"1062","USC00105275","2380S",2380,"S",42.1231,-111.3139
"1063","USC00105414","2572R",2572,"R",44.0828,-115.6186
"1064","USC00105462","2375R",2375,"R",43.9181,-113.6317
"1065","USC00105563","2976R",2976,"R",42.2917,-113.3042
"1066","USC00105567","3184R",3184,"R",42.3019,-113.335
"1067","USC00105678","3112R",3112,"R",42.6681,-112.9981
"1068","USC00105685","2665R",2665,"R",44.5664,-113.8953
"1069","USC00105708","2157S",2157,"S",44.8869,-116.1047
"1070","USC00105716","2826R",2826,"R",42.6447,-112.1919
"1071","USC00105897","2659S",2659,"S",44.7189,-115.015
"1072","USC00105980","3134R",3134,"R",42.6767,-113.5003
"1073","USC00106152","2725S",2725,"S",46.7281,-116.9558
"1074","USC00106174","3640R",3640,"R",43.1261,-115.7119
"1075","USC00106230","2379R",2379,"R",47.4714,-115.8
"1076","USC00106250","2963R",2963,"R",42.0264,-115.3597
"1077","USC00106305","3635S",3635,"S",43.6039,-116.5753
"1078","USC00106388","2469R",2469,"R",44.9714,-116.2933
"1079","USC00106424","2379S",2379,"S",46.2358,-116.2467
"1080","USC00106542","3234S",3234,"S",42.2342,-113.8981
"1081","USC00106586","3169R",3169,"R",44.1758,-116.2828
"1082","USC00106764","2572R",2572,"R",43.35,-111.2167
"1083","USC00106844","3570S",3570,"S",43.8022,-116.9442
"1084","USC00106877","2995S",2995,"S",42.6283,-113.7622
"1085","USC00106891","3697S",3697,"S",44.0764,-116.9311
"1086","USC00107040","2584S",2584,"S",43.3111,-114.0742
"1087","USC00107046","2340R",2340,"R",46.4922,-115.8006
"1088","USC00107188","2433R",2433,"R",47.3117,-116.9561
"1089","USC00107208","3162R",3162,"R",42.8917,-112.4086
"1090","USC00107264","2612R",2612,"R",48.9994,-116.4992
"1091","USC00107301","2439S",2439,"S",46.9603,-116.855
"1092","USC00107320","2238S",2238,"S",46.51,-114.7111
"1093","USC00107346","2975R",2975,"R",42.0933,-111.8683
"1094","USC00107386","2398C",2398,"C",48.3514,-116.8356
"1095","USC00107563","2209R",2209,"R",45.7075,-115.3444
"1096","USC00107644","2604R",2604,"R",43.8083,-111.7892
"1097","USC00107648","3076S",3076,"S",43.2064,-116.7494
"1098","USC00107673","2827S",2827,"S",43.0528,-114.1581
"1099","USC00107706","3725R",3725,"R",45.4239,-116.315
"1100","USC00107968","3013R",3013,"R",42.6042,-113.7575
"1101","USC00108022","2483S",2483,"S",43.9517,-111.6789
"1102","USC00108062","2721S",2721,"S",47.3164,-116.5789
"1103","USC00108080","2681S",2681,"S",45.1875,-113.9008
"1104","USC00108137","2511S",2511,"S",48.2942,-116.5628
"1105","USC00108380","3362R",3362,"R",42.9383,-114.4169
"1106","USC00108395","3005R",3005,"R",45.3767,-114.2775
"1107","USC00108412","2626R",2626,"R",43.0022,-116.8317
"1108","USC00108535","2460R",2460,"R",42.6514,-111.5833
"1109","USC00108676","2042S",2042,"S",44.2206,-114.9342
"1110","USC00108928","4090S",4090,"S",43.2436,-116.3783
"1111","USC00108937","2552S",2552,"S",43.4447,-111.2939
"1112","USC00109000","2724R",2724,"R",45.1017,-114.8508
"1113","USC00109065","2091R",2091,"R",43.8564,-111.2769
"1114","USC00109293","3523R",3523,"R",42.5808,-114.4569
"1115","USC00109303","2999S",2999,"S",42.5458,-114.3461
"1116","USC00109498","2313R",2313,"R",47.4753,-115.9314
"1117","USC00109560","1966R",1966,"R",45.2658,-115.6789
"1118","USC00109638","3715R",3715,"R",44.2456,-116.9697
"1119","USC00109846","2072S",2072,"S",46.2375,-116.6225
"1120","USC00109951","2206R",2206,"R",44.8542,-115.5114
"1121","USC00109963","3123R",3123,"R",45.545,-115.2514
"1122","USC00110055","4851R",4851,"R",38.3778,-88.0569
"1123","USC00110072","3706S",3706,"S",41.1961,-90.7478
"1124","USC00110137","4958R",4958,"R",38.8661,-90.1461
"1125","USC00110187","4967S",4967,"S",37.4814,-89.2344
"1126","USC00110203","3376R",3376,"R",42.4811,-88.0994
"1127","USC00110306","4077R",4077,"R",39.9467,-89.7597
"1128","USC00110338","3755S",3755,"S",41.7806,-88.3092
"1129","USC00110442","3323R",3323,"R",42.1153,-88.1639
"1130","USC00110598","4199R",4199,"R",40.3436,-91.1125
"1131","USC00110608","4797R",4797,"R",38.0336,-88.9203
"1132","USC00110764","4019R",4019,"R",40.4864,-89.0864
"1133","USC00110993","4850S",4850,"S",37.1275,-88.6531
"1134","USC00111020","4636R",4636,"R",38.9544,-88.9583
"1135","USC00111160","4822S",4822,"S",38.5669,-90.1942
"1136","USC00111265","4872S",4872,"S",37.7308,-89.1658
"1137","USC00111280","4354R",4354,"R",39.2883,-89.8703
"1138","USC00111290","4571R",4571,"R",38.6308,-89.3658
"1139","USC00111302","4699R",4699,"R",38.0733,-88.1805
"1140","USC00111420","3758R",3758,"R",41.3978,-88.2819
"1141","USC00111436","4464S",4464,"S",39.4761,-88.1653
"1142","USC00111475","4106S",4106,"S",40.7394,-88.7108
"1143","USC00111497","3452S",3452,"S",42.1406,-87.7867
"1144","USC00111835","3497R",3497,"R",41.7061,-89.1003
"1145","USC00111836","3987R",3987,"R",40.6211,-89.2414
"1146","USC00112140","4250S",4250,"S",40.1392,-87.6481
"1147","USC00112193","4459S",4459,"S",39.8289,-88.9506
"1148","USC00112223","3546S",3546,"S",41.9342,-88.7756
"1149","USC00112348","3548S",3548,"S",41.8472,-89.5047
"1150","USC00112353","5254R",5254,"R",37.4389,-88.6678
"1151","USC00112483","4866S",4866,"S",37.9878,-89.1931
"1152","USC00112500","3693R",3693,"R",41.1072,-88.4111
"1153","USC00112736","3550R",3550,"R",42.0628,-88.2861
"1154","USC00112745","3371R",3371,"R",42.3161,-90.2269
"1155","USC00112931","4561S",4561,"S",38.3806,-88.3264
"1156","USC00112993","3889R",3889,"R",40.2539,-88.7075
"1157","USC00113106","4521R",4521,"R",38.6786,-88.4797
"1158","USC00113109","4698S",4698,"S",38.7103,-88.5758
"1159","USC00113262","3477S",3477,"S",42.2972,-89.6039
"1160","USC00113290","3763S",3763,"S",41.8978,-90.1544
"1161","USC00113320","3870S",3870,"S",40.9464,-90.3856
"1162","USC00113335","3738S",3738,"S",41.1739,-90.035
"1163","USC00113369","3827R",3827,"R",41.35,-88.4333
"1164","USC00113384","3946S",3946,"S",41.4511,-90.1486
"1165","USC00113413","3831R",3831,"R",40.4731,-88.3653
"1166","USC00113455","4030R",4030,"R",40.8822,-91.0233
"1167","USC00113530","4105R",4105,"R",40.1064,-91.0222
"1168","USC00113580","4951R",4951,"R",37.2036,-89.0422
"1169","USC00113717","4121R",4121,"R",39.7378,-90.7086
"1170","USC00113879","4924R",4924,"R",37.7408,-88.5244
"1171","USC00113940","4272R",4272,"R",40.3031,-90.0656
"1172","USC00114013","3933R",3933,"R",41.2647,-89.3381
"1173","USC00114108","4826S",4826,"S",39.15,-89.4833
"1174","USC00114198","4193S",4193,"S",40.4742,-87.6564
"1175","USC00114400","4496R",4496,"R",38.4931,-88.9703
"1176","USC00114442","4155S",4155,"S",39.7347,-90.1978
"1177","USC00114489","4390S",4390,"S",39.1053,-90.3419
"1178","USC00114530","3803S",3803,"S",41.5033,-88.1028
"1179","USC00114603","3896S",3896,"S",41.1381,-87.8856
"1180","USC00114629","4906R",4906,"R",37.9842,-89.9492
"1181","USC00114710","3650R",3650,"R",41.2428,-89.8997
"1182","USC00114805","4281S",4281,"S",41.0411,-89.4061
"1183","USC00114823","4056R",4056,"R",40.5839,-90.9686
"1184","USC00114837","3392R",3392,"R",42.4308,-88.0594
"1185","USC00114957","4619R",4619,"R",38.7267,-87.69
"1186","USC00115079","4131R",4131,"R",40.1514,-89.3381
"1187","USC00115326","3461R",3461,"R",42.2636,-88.6078
"1188","USC00115342","4410R",4410,"R",37.7747,-88.8981
"1189","USC00115372","3642R",3642,"R",41.3286,-88.7533
"1190","USC00115413","4181R",4181,"R",40.2272,-89.6947
"1191","USC00115430","4405R",4405,"R",39.4725,-88.3544
"1192","USC00115493","3290R",3290,"R",42.3103,-88.2525
"1193","USC00115515","4661R",4661,"R",38.0844,-88.5425
"1194","USC00115712","3937S",3937,"S",40.9125,-89.0342
"1195","USC00115768","4096S",4096,"S",40.9442,-90.6381
"1196","USC00115772","3828R",3828,"R",40.9361,-90.7197
"1197","USC00115825","3897R",3897,"R",41.3708,-88.4336
"1198","USC00115833","3746S",3746,"S",41.8039,-89.9744
"1199","USC00115841","4249S",4249,"S",39.4158,-89.4614
"1200","USC00115888","4750S",4750,"S",38.4106,-87.7578
"1201","USC00115901","3579R",3579,"R",42.0981,-89.9842
"1202","USC00115943","4480S",4480,"S",38.3483,-88.8533
"1203","USC00115950","4337R",4337,"R",39.5878,-89.0158
"1204","USC00115961","3351R",3351,"R",42.2553,-88.0769
"1205","USC00116011","4655S",4655,"S",38.3431,-89.3586
"1206","USC00116080","3998R",3998,"R",41.1922,-91.0578
"1207","USC00116157","4508R",4508,"R",38.9917,-88.1828
"1208","USC00116159","4071R",4071,"R",38.9136,-88.1183
"1209","USC00116200","3948R",3948,"R",40.5492,-88.9497
"1210","USC00116383","5109R",5109,"R",37.1742,-89.3506
"1211","USC00116446","4518S",4518,"S",38.7003,-88.0817
"1212","USC00116526","3917S",3917,"S",41.3283,-88.9106
"1213","USC00116558","4552R",4552,"R",39.0028,-87.6225
"1214","USC00116579","4308R",4308,"R",39.3722,-89.0242
"1215","USC00116610","4230S",4230,"S",39.6186,-87.6672
"1216","USC00116616","3756S",3756,"S",41.4947,-87.6803
"1217","USC00116661","3321R",3321,"R",41.7122,-88.9989
"1218","USC00116663","3782R",3782,"R",40.4547,-88.1417
"1219","USC00116738","4275R",4275,"R",39.8058,-90.8236
"1220","USC00116753","3802S",3802,"S",41.3503,-89.1072
"1221","USC00116819","3959S",3959,"S",40.7569,-88.1828
"1222","USC00116837","4287R",4287,"R",39.6222,-90.8058
"1223","USC00116897","3705R",3705,"R",42.0347,-89.6119
"1224","USC00116910","3921S",3921,"S",40.8853,-88.6389
"1225","USC00116998","3885R",3885,"R",41.3761,-89.4642
"1226","USC00117004","3941S",3941,"S",40.9314,-89.7797
"1227","USC00117077","4385R",4385,"R",39.9058,-91.4281
"1228","USC00117126","4263R",4263,"R",39.1483,-89.1022
"1229","USC00117354","3447S",3447,"S",41.9117,-89.0708
"1230","USC00117391","4163R",4163,"R",41.5181,-90.5647
"1231","USC00117457","3775R",3775,"R",41.6042,-88.085
"1232","USC00117487","4799R",4799,"R",37.4747,-88.4122
"1233","USC00117551","4163R",4163,"R",40.1347,-90.4792
"1234","USC00117636","4605C",4605,"C",38.6453,-88.9461
"1235","USC00117876","4402R",4402,"R",39.4067,-88.7747
"1236","USC00118020","4934S",4934,"S",37.1644,-88.4311
"1237","USC00118147","4663S",4663,"S",38.1167,-89.7167
"1238","USC00118293","3418S",3418,"S",42.4006,-89.9958
"1239","USC00118324","3533R",3533,"R",42.0256,-88.1783
"1240","USC00118389","4061R",4061,"R",39.5608,-88.6067
"1241","USC00118684","4180S",4180,"S",39.795,-88.29
"1242","USC00118740","4090S",4090,"S",40.0839,-88.2403
"1243","USC00118781","4424S",4424,"S",38.9703,-89.0922
"1244","USC00118860","4597S",4597,"S",39.5061,-89.7689
"1245","USC00118916","3677S",3677,"S",41.5519,-89.5989
"1246","USC00119002","4804R",4804,"R",38.3664,-90.1619
"1247","USC00119021","3823S",3823,"S",40.7928,-87.7556
"1248","USC00119029","3329R",3329,"R",42.3492,-87.8828
"1249","USC00119221","3524S",3524,"S",41.8128,-88.0728
"1250","USC00119241","4235S",4235,"S",39.4411,-90.3789
"1251","USC00119331","4318R",4318,"R",39.6319,-90.4572
"1252","USC00119354","4366S",4366,"S",39.4458,-88.5961
"1253","USC00120177","3975S",3975,"S",40.1117,-85.7164
"1254","USC00120200","3323S",3323,"S",41.6397,-84.9897
"1255","USC00120331","3912R",3912,"R",40.2839,-87.1964
"1256","USC00120676","3898S",3898,"S",40.6683,-84.9305
"1257","USC00120784","4318S",4318,"S",39.1742,-86.5214
"1258","USC00120830","3803S",3803,"S",40.7475,-85.1739
"1259","USC00120852","4949R",4949,"R",38.0303,-87.2736
"1260","USC00120858","3706R",3706,"R",40.535,-87.453
"1261","USC00121030","4288S",4288,"S",39.4239,-85.0128
"1262","USC00121229","3601R",3601,"R",39.8667,-85.1833
"1263","USC00121303","3984R",3984,"R",39.9614,-86.0586
"1264","USC00121425","4686R",4686,"R",38.65,-85.7
"1265","USC00121739","3529S",3529,"S",41.1453,-85.4897
"1266","USC00121747","4333S",4333,"S",39.1661,-85.9228
"1267","USC00121869","4778R",4778,"R",38.8725,-86.835
"1268","USC00121873","3736R",3736,"R",40.0028,-86.8011
"1269","USC00122149","3940S",3940,"S",40.615,-86.6661
"1270","USC00122309","4545S",4545,"S",38.4558,-86.6983
"1271","USC00122638","3868S",3868,"S",40.2872,-85.8453
"1272","USC00122660","4752R",4752,"R",38.2789,-86.4683
"1273","USC00122731","5600R",5600,"R",37.9647,-87.5783
"1274","USC00122825","3810C",3810,"C",40.2539,-85.1483
"1275","USC00123082","3886S",3886,"S",40.2986,-86.5067
"1276","USC00123104","4403S",4403,"S",38.8672,-87.3083
"1277","USC00123207","3610R",3610,"R",41.3367,-85.1197
"1278","USC00123418","3665S",3665,"S",41.5575,-85.8825
"1279","USC00123513","3904S",3904,"S",39.6439,-86.8767
"1280","USC00123527","4019S",4019,"S",39.7858,-85.7611
"1281","USC00123547","4329C",4329,"C",39.3475,-85.4892
"1282","USC00123777","3856R",3856,"R",40.4356,-85.2892
"1283","USC00124008","3644R",3644,"R",41.5422,-87.2881
"1284","USC00124181","3795S",3795,"S",40.8556,-85.4981
"1285","USC00124244","3553R",3553,"R",41.6317,-87.0881
"1286","USC00124272","3982S",3982,"S",39.7164,-86.0678
"1287","USC00124356","3918R",3918,"R",39.9233,-86.5983
"1288","USC00124527","3989R",3989,"R",40.7592,-87.4353
"1289","USC00124550","3770R",3770,"R",41.0833,-86.5167
"1290","USC00124662","3802S",3802,"S",40.4583,-86.1758
"1291","USC00124715","3986S",3986,"S",40.2964,-86.9028
"1292","USC00124730","3470R",3470,"R",41.6292,-85.4142
"1293","USC00124782","3470R",3470,"R",41.5269,-86.2692
"1294","USC00124837","3658S",3658,"S",41.6117,-86.7297
"1295","USC00125117","3789R",3789,"R",40.7478,-86.3878
"1296","USC00125174","3685C",3685,"C",41.2647,-87.4178
"1297","USC00125237","4741S",4741,"S",38.7369,-85.3942
"1298","USC00125337","3835S",3835,"S",40.58,-85.6586
"1299","USC00125407","3993S",3993,"S",39.4039,-86.453
"1300","USC00125658","3767R",3767,"R",39.1619,-85.0517
"1301","USC00126001","5017S",5017,"S",37.9286,-87.8956
"1302","USC00126164","3761S",3761,"S",39.8942,-85.3953
"1303","USC00126304","4043R",4043,"R",39.55,-86.1
"1304","USC00126435","4525R",4525,"R",39.0017,-85.5997
"1305","USC00126506","3878R",3878,"R",39.9,-85.9833
"1306","USC00126580","4258S",4258,"S",38.8894,-86.5519
"1307","USC00126705","4401S",4401,"S",38.5556,-86.4858
"1308","USC00126830","4161R",4161,"R",40.0739,-87.5067
"1309","USC00126872","4348R",4348,"R",38.465,-87.2658
"1310","USC00126989","3608R",3608,"R",41.3392,-86.3358
"1311","USC00127069","3763R",3763,"R",40.4175,-84.9925
"1312","USC00127102","3564R",3564,"R",41.64,-85.1967
"1313","USC00127125","4681S",4681,"S",38.3567,-87.5906
"1314","USC00127298","3821S",3821,"S",40.9356,-87.1564
"1315","USC00127370","3964S",3964,"S",39.8544,-84.8778
"1316","USC00127482","3655R",3655,"R",41.0664,-86.2097
"1317","USC00127522","4355S",4355,"S",39.7594,-87.2269
"1318","USC00127646","3991C",3991,"C",39.6042,-85.4528
"1319","USC00127724","4933S",4933,"S",38.1642,-86.8094
"1320","USC00127755","4612S",4612,"S",38.6158,-86.0856
"1321","USC00127875","4463R",4463,"R",38.6886,-85.785
"1322","USC00127935","4211S",4211,"S",38.9822,-85.8989
"1323","USC00127959","4297R",4297,"R",39.1614,-87.2436
"1324","USC00127999","4181R",4181,"R",39.5283,-85.7914
"1325","USC00128036","4294S",4294,"S",38.5528,-86.7944
"1326","USC00128290","4094S",4094,"S",39.2836,-86.7703
"1327","USC00128698","5103S",5103,"S",37.9531,-86.7747
"1328","USC00128723","4534R",4534,"R",39.4708,-87.4081
"1329","USC00128784","3726R",3726,"R",40.2233,-86.1086
"1330","USC00128999","3717R",3717,"R",41.5114,-87.0378
"1331","USC00129080","4742R",4742,"R",38.7436,-85.0761
"1332","USC00129113","4601S",4601,"S",38.7386,-87.4878
"1333","USC00129138","3716R",3716,"R",40.7869,-85.8208
"1334","USC00129222","3485S",3485,"S",41.4439,-86.9294
"1335","USC00129240","3606S",3606,"S",41.2633,-85.8678
"1336","USC00129253","4890R",4890,"R",38.6489,-87.1989
"1337","USC00129430","3900C",3900,"C",40.475,-86.9919
"1338","USC00129511","3768R",3768,"R",41.1947,-87.0578
"1339","USC00129557","4098S",4098,"S",39.9961,-86.3542
"1340","USC00129670","3720S",3720,"S",41.0267,-86.5867
"1341","USC00129678","3781S",3781,"S",40.1714,-84.9208
"1342","USC00129905","3776R",3776,"R",40.5614,-86.3425
"1343","USC00130112","3871S",3871,"S",41.0656,-92.7867
"1344","USC00130133","3272R",3272,"R",43.0683,-94.3053
"1345","USC00130149","3842R",3842,"R",40.7042,-93.3697
"1346","USC00130157","3477S",3477,"S",42.7536,-92.8022
"1347","USC00130200","3865S",3865,"S",42.0208,-93.7742
"1348","USC00130203","3604R",3604,"R",41.9519,-93.5656
"1349","USC00130213","3438S",3438,"S",42.1117,-91.2933
"1350","USC00130241","3902S",3902,"S",41.7183,-93.5742
"1351","USC00130364","3827S",3827,"S",41.4175,-95.0039
"1352","USC00130385","3605S",3605,"S",41.7069,-94.9222
"1353","USC00130536","3785S",3785,"S",40.8236,-94.0475
"1354","USC00130576","4000S",4000,"S",40.6742,-94.7244
"1355","USC00130600","3585S",3585,"S",41.8814,-92.2764
"1356","USC00130608","3596S",3596,"S",42.2614,-90.4233
"1357","USC00130753","3985S",3985,"S",40.7597,-92.4394
"1358","USC00130807","3567S",3567,"S",42.0417,-93.8906
"1359","USC00130923","3245S",3245,"S",43.1017,-93.8014
"1360","USC00131060","4053S",4053,"S",40.7747,-91.1164
"1361","USC00131233","3639C",3639,"C",42.065,-94.85
"1362","USC00131257","3433S",3433,"S",42.2989,-90.9983
"1363","USC00131277","3633S",3633,"S",42.0633,-95.8364
"1364","USC00131319","3961C",3961,"C",42.05,-91.5881
"1365","USC00131354","3942R",3942,"R",40.7364,-92.8692
"1366","USC00131394","3740S",3740,"S",41.0164,-93.2792
"1367","USC00131402","3396S",3396,"S",43.0775,-92.6714
"1368","USC00131442","3506S",3506,"S",42.7572,-95.5378
"1369","USC00131533","3827R",3827,"R",40.7244,-95.0192
"1370","USC00131541","3528R",3528,"R",42.72,-93.7336
"1371","USC00131635","3966C",3966,"C",41.7947,-90.2639
"1372","USC00131710","3558S",3558,"S",42.0169,-93.3189
"1373","USC00131731","3818S",3818,"S",41.2864,-91.3611
"1374","USC00131833","3814R",3814,"R",40.9886,-94.7492
"1375","USC00131954","3059C",3059,"C",43.3894,-92.0939
"1376","USC00131962","3770S",3770,"S",41.0372,-94.3942
"1377","USC00132110","3540S",3540,"S",43.3042,-91.7953
"1378","USC00132171","3861S",3861,"S",42.0364,-95.3289
"1379","USC00132209","3899R",3899,"R",41.7367,-93.7236
"1380","USC00132364","3697S",3697,"S",42.5397,-90.6464
"1381","USC00132573","3451S",3451,"S",42.3619,-93.0989
"1382","USC00132603","3426S",3426,"S",42.7753,-91.4536
"1383","USC00132689","3287S",3287,"S",43.1025,-94.6833
"1384","USC00132724","3227S",3227,"S",43.4036,-94.7472
"1385","USC00132789","4207C",4207,"C",41.0211,-91.9553
