AQW00061705       12073C
USC00146100        4396S
USC00146128        4705S
USC00146209        4737S
USC00146242        4906S
USC00146333        4359S
USC00146374        4491R
USC00146378        4460R
USC00146435        4305R
USC00146498        4633R
USC00146549        4780R
USC00146637        4297S
USC00146808        4617S
USC00147042        4532Q
USC00147049        4390R
USC00147050        4272R
USC00147093        4171S
USC00147271        4362R
USC00147305        5192S
USC00147397        4271C
USC00147534        4944R
USC00147542        4542S
USC00147551        4687R
USC00147796        4810S
USC00147922        5004R
USC00148038        4818S
USC00148061        4697Q
USC00148191        4884R
USC00148235        4296S
USC00148240        4262R
USC00148250        4403S
USC00148259        4485S
USC00148287        4588S
USC00148495        4577S
USC00148535        4508Q
USC00148563        4578R
USC00148578        4522S
USC00148648        4575R
USC00148670        5016S
USC00148914        4912R
USC00148946        4660S
USC00148964        4888S
USC00148988        4269R
USC00149080        4708S
USC00150254        4248S
USC00150381        4666S
USC00150397        4827R
USC00150402        5201R
USC00150422        5403S
USC00150450        4639S
USC00150483        4524Q
USC00150490        4927R
USC00150619        5138R
USC00150630        5043R
USC00150858        4566Q
USC00150860        4489Q
USC00150940        4749S
USC00150955        4624R
USC00151080        4665Q
USC00151227        4876Q
USC00151318        4609Q
USC00151345        4769R
USC00151517        4341Q
USC00151810        4440Q
USC00151890        4827R
USC00151895        4471Q
USC00151900        4505R
USC00151998        4476R
USC00152040        4610R
USC00152214        4587R
USC00152409        4401R
USC00152442        5444Q
USC00152512        4558R
USC00152575        4986Q
USC00152775        4347R
USC00152791        4776S
USC00153028        4493R
USC00153223        5627R
USC00153230        4404Q
USC00153246        5395R
USC00153295        5204R
USC00153382        4151R
USC00153389        4400R
USC00153391        4306R
USC00153430        4917S
USC00153604        5137R
USC00153741        4689R
USC00153744        4440Q
USC00153762        4962R
USC00153929        4894S
USC00153994        5140R
USC00154138        4357Q
USC00154208        4564R
USC00154375        5156Q
USC00154703        4452S
USC00154958        4733Q
USC00154967        5370R
USC00155067        5321R
USC00155097        5332R
USC00155111        4601R
USC00155165        4907Q
USC00155233        5400R
USC00155243        4473R
USC00155280        4633Q
USC00155389        4708R
USC00155524        4769S
USC00155640        4295R
USC00155648        4629S
USC00155694        5369R
USC00155834        5031S
USC00156012        3975Q
USC00156028        4681Q
USC00156091        5419R
USC00156117        5397R
USC00156136        4693R
USC00156224        4676Q
USC00156580        5320S
USC00156595        5202R
USC00156882        5043R
USC00156988        4734S
USC00157049        4997R
USC00157215        4905S
USC00157324        4418R
USC00157510        4675R
USC00157592        4916Q
USC00157652        4360Q
USC00157677        4483S
USC00157800        4865R
USC00158432        4074Q
USC00158446        4420R
USC00158551        4241R
USC00158553        4348Q
USC00158555        4967Q
USC00158709        4504R
USC00158714        4719R
USC00158824        4773Q
USC00160098        7147S
USC00160103        6783R
USC00160205        7078S
USC00160349        6603S
USC00160537        6322S
USC00160718        6530Q
USC00160800        6565R
USC00160945        7166R
USC00161232        7092S
USC00161246        7163R
USC00161287        7114S
USC00161292        8023R
USC00161411        6328S
USC00161565        7507S
USC00161899        6790S
USC00161941        6761Q
USC00161979        6496R
USC00162151        7174R
USC00162212        7438S
USC00162361        7074R
USC00162367        7197S
USC00162534        7443C
USC00162800        7114R
USC00162981        7570R
USC00163079        6522R
USC00163313        7550R
USC00163327        7161R
USC00163433        7860S
USC00163800        7445S
USC00163979        7870R
USC00164030        7204S
USC00164288        6918Q
USC00164355        6174R
USC00164407        7881R
USC00164674        7569S
USC00164696        6640R
USC00164700        7438C
USC00164739        7020R
USC00165021        7370R
USC00165065        7760R
USC00165090        6548C
USC00165146        6950Q
USC00165266        6846R
USC00165296        7531R
USC00165527        6625R
USC00165620        7350S
USC00165624        7975R
USC00165630        7059S
USC00165874        6573R
USC00165892        6803R
USC00165926        7534R
USC00166244        6523S
USC00166314        6513S
USC00166364        6577Q
USC00166394        7703S
USC00166434        7299Q
USC00166582        7121S
USC00166584        6921Q
USC00166657        7769R
USC00166686        7387S
USC00166938        7238R
USC00166978        6731R
USC00167344        6431R
USC00167691        6753R
USC00167738        6730S
USC00167767        7637S
USC00167924        6628Q
USC00167932        7469S
USC00168046        6859S
USC00168067        6242R
USC00168108        7697R
USC00168163        6933S
USC00168181        7284Q
USC00168444        6568Q
USC00168448        6675Q
USC00168539        7416S
USC00168543        7308R
USC00168923        6710S
USC00168941        7953R
USC00169013        7650R
USC00169074        6966Q
USC00169803        6735R
USC00169804        6738Q
USC00169806        6796S
USC00170100        2842S
USC00170200        2093R
USC00170398        2415R
USC00170480        2389S
USC00170655        2374Q
USC00170814        2114S
USC00170833        2337S
USC00170844        2531S
USC00171472        2032R
USC00171628        2619S
USC00171833        2425R
USC00171975        2411R
USC00172048        2511R
USC00172238        2561S
USC00172426        2083R
USC00172620        2592R
USC00172623        2493Q
USC00172700        1993R
USC00172765        2507C
USC00172878        2021S
USC00173046        2739S
USC00173261        2621R
USC00173295        2799R
USC00173353        2155Q
USC00173417        2418Q
USC00173570        2232R
USC00173862        2694R
USC00173944        2438R
USC00174086        2151S
USC00174183        2245R
USC00174193        2432R
USC00174566        2767R
USC00174683        2591Q
USC00174781        1977S
USC00174927        2553S
USC00175261        2157R
USC00175304        2452S
USC00175347        2582Q
USC00175675        2617S
USC00176430        2831R
USC00176594        2166R
USC00176721        2070R
USC00176856        2627Q
USC00176875        2248Q
USC00176881        2051R
USC00176937        2416S
USC00177037        2107S
USC00177039        1965R
USC00177174        2167R
USC00177238        2247R
USC00177325        2680S
USC00177479        3205S
USC00177654        2434R
USC00178353        2481R
USC00178792        2428Q
USC00178817        2649Q
USC00178965        2092S
USC00178974        2552R
USC00179151        2774S
USC00179294        2344R
USC00179314        2821S
USC00179547        2443Q
USC00179593        2496S
USC00179891        2627S
USC00180193        5236R
USC00180335        4698R
USC00180700        4542S
USC00180732        4859R
USC00181385        5112R
USC00181530        3958S
USC00181750        4495S
USC00181862        4411R
USC00181995        4864R
USC00182060        4555R
USC00182282        4518S
USC00182308        4077Q
USC00182325        4863S
USC00182335        4250R
USC00182336        4065R
USC00182906        3998S
USC00183348        4764R
USC00183353        4281Q
USC00183415        3107S
USC00183675        4467R
USC00184030        4106R
USC00185080        4885R
USC00185111        4759R
USC00185832        3107R
USC00185865        4446S
USC00185934        3908R
USC00185985        4644R
USC00186350        4987S
USC00186620        3135S
USC00186770        4741R
USC00186800        4805Q
USC00187330        4795R
USC00187705        4487R
USC00187806        4943S
USC00188000        5096S
USC00188065        3351S
USC00188207        4117R
USC00188371        3990Q
USC00188380        4967C
USC00188405        5146Q
USC00188557        4606Q
USC00189030        4239R
USC00189070        4564R
USC00189140        5092S
USC00189440        4286R
USC00189570        4162Q
USC00189750        4523R
USC00190120        3233S
USC00190190        2830Q
USC00190192        2710Q
USC00190213        2560Q
USC00190408        2739R
USC00190535        3286R
USC00190562        3073Q
USC00190593        2919R
USC00190666        2906R
USC00190759        2694R
USC00190840        3252Q
USC00190860        3261S
USC00190998        3155R
USC00191386        2782S
USC00191774        2630R
USC00191821        2903Q
USC00192107        3164S
USC00192451        3219R
USC00192501        3434S
USC00193213        3194R
USC00193229        3040Q
USC00193276        3188R
USC00193505        3218S
USC00193624        3427S
USC00193821        3132R
USC00193890        3531R
USC00193985        2967R
USC00194075        2701R
USC00194105        3487S
USC00194131        2967R
USC00194313        3332R
USC00194502        3203R
USC00194580        3470S
USC00194711        3298Q
USC00194744        3627S
USC00195175        3231Q
USC00195246        3642R
USC00195984        3335R
USC00196245        3047R
USC00196486        3384S
USC00196783        3317S
USC00196938        3412S
USC00197230        2426Q
USC00197627        3034R
USC00198367        3531R
USC00198573        3070R
USC00198757        3497S
USC00199193        3160Q
USC00199316        3482R
USC00199371        2599Q
USC00199972        2665R
USC00200032        3239S
USC00200089        2346R
USC00200106        3361Q
USC00200128        3088R
USC00200146        3091C
USC00200166        2536R
USC00200197        2377Q
USC00200220        3239Q
USC00200228        3304Q
USC00200230        3552S
USC00200342        2591Q
USC00200343        2503R
USC00200361        2993Q
USC00200417        2871S
USC00200446        3028R
USC00200718        2305S
USC00200758        2824Q
USC00200770        2418R
USC00200779        2835S
USC00200842        3350Q
USC00200864        3216R
USC00200925        3110C
USC00201052        2997Q
USC00201150        3161Q
USC00201238        3003Q
USC00201250        3236Q
USC00201299        3081R
USC00201343        2917Q
USC00201361        2916R
USC00201435        2206Q
USC00201439        2143R
USC00201468        2811R
USC00201476        3139S
USC00201486        2352R
USC00201492        2456R
USC00201502        3241Q
USC00201675        3250S
USC00201780        2073R
USC00201802        2502R
USC00201818        3094Q
USC00201896        2413S
USC00202015        3646S
USC00202016        3529Q
USC00202094        2255S
USC00202250        3218S
USC00202308        3567Q
USC00202328        3215Q
USC00202381        2953C
USC00202395        3378R
USC00202423        2768S
USC00202427        3493Q
USC00202445        3833S
USC00202503        2471Q
USC00202631        3246S
USC00202691        3209Q
USC00202737        2338R
USC00202788        2925Q
USC00202804        2723R
USC00202851        3112Q
USC00202955        2952Q
USC00202984        2661S
USC00203025        2876Q
USC00203096        2586S
USC00203099        2414R
USC00203188        2525Q
USC00203278        3186Q
USC00203290        3213R
USC00203295        2830Q
USC00203391        2569S
USC00203429        3188R
USC00203477        3266S
USC00203504        3712R
USC00203529        2719S
USC00203585        2479S
USC00203628        2385R
USC00203632        2816R
USC00203661        3158S
USC00203712        3230Q
USC00203744        2224R
USC00203769        2953R
USC00203823        3233R
USC00203858        3470R
USC00203913        3075Q
USC00203930        2685R
USC00203932        2674R
USC00203947        3341Q
USC00204078        3119S
USC00204090        2664S
USC00204104        2310S
USC00204130        2373Q
USC00204257        2496R
USC00204258        2498Q
USC00204399        2970Q
USC00204502        2602S
USC00204655        3084S
USC00204659        3179Q
USC00204793        3105Q
USC00204808        2840Q
USC00204954        2892R
USC00204967        2668R
USC00205050        3293Q
USC00205065        3002S
USC00205073        2030S
USC00205097        2977R
USC00205168        2871Q
USC00205434        3225S
USC00205450        3459R
USC00205451        3428Q
USC00205452        3149R
USC00205531        2827R
USC00205533        2731Q
USC00205558        3546R
USC00205563        3549Q
USC00205567        2934S
USC00205591        2177Q
USC00205603        3448Q
USC00205662        3045R
USC00205690        2131R
USC00205810        2084Q
USC00205816        2170R
USC00205822        3441Q
USC00206007        2447Q
USC00206012        2843R
USC00206158        2758R
USC00206184        2874S
USC00206220        2649S
USC00206300        3196S
USC00206442        2420Q
USC00206507        2423S
USC00206510        2434Q
USC00206583        2425Q
USC00206587        2926Q
USC00206658        3246R
USC00206662        2783Q
USC00206663        2592R
USC00206680        3237R
USC00206982        3047Q
USC00207094        2587S
USC00207190        2403R
USC00207222        3231Q
USC00207225        3046Q
USC00207253        3092R
USC00207274        2366S
USC00207277        2426R
USC00207280        3267S
USC00207308        3348Q
USC00207312        3343Q
USC00207320        3403Q
USC00207350        2986R
USC00207364        2237R
USC00207515        2682R
USC00207684        2741Q
USC00207690        3439S
USC00207812        2201S
USC00207820        2785S
USC00207867        2676R
USC00208043        2073R
USC00208080        3401Q
USC00208184        3508S
USC00208202        3346Q
USC00208249        2802Q
USC00208293        2286R
USC00208345        2108Q
USC00208417        2546S
USC00208443        2967Q
USC00208680        2300R
USC00208706        2070Q
USC00208774        2931Q
USC00208800        2704S
USC00208920        1931S
USC00208941        3034R
USC00208972        3059Q
USC00209188        2874Q
USC00210018        2850R
USC00210050        2834R
USC00210059        2547R
USC00210075        3187S
USC00210157        3506R
USC00210190        2982Q
USC00210252        2632C
USC00210287        3046S
USC00210355        3077S
USC00210387        2177R
USC00210515        2644R
USC00210564        1912Q
USC00210643        2372R
USC00210667        3119S
USC00210746        2694R
USC00210809        2395R
USC00210939        2697S
USC00210973        3081Q
USC00210989        2112R
USC00211063        3057R
USC00211065        3129Q
USC00211074        2426R
USC00211107        3034R
USC00211174        3014R
USC00211198        3026S
USC00211227        2977R
USC00211245        2961R
USC00211250        2384Q
USC00211263        3243S
USC00211374        2523S
USC00211390        3096R
USC00211448        3177R
USC00211465        3540R
USC00211468        3133Q
USC00211630        2490S
USC00211691        3215S
USC00211771        2314Q
USC00211776        2511R
USC00211840        2189R
USC00211891        2709S
USC00212015        3045Q
USC00212023        3241Q
USC00212050        2720R
USC00212088        3092R
USC00212142        3025R
USC00212246        1961R
USC00212500        3169Q
USC00212543        2383R
USC00212555        2261Q
USC00212576        1944R
USC00212645        2244R
USC00212698        3424S
USC00212721        3108S
USC00212737        3274S
USC00212768        2884R
USC00212842        2271R
USC00212881        3213S
USC00212916        2499R
USC00213076        3144S
USC00213104        2995S
USC00213174        3134S
USC00213282        1702S
USC00213290        2868S
USC00213296        1824R
USC00213303        2602C
USC00213311        3170Q
USC00213411        2657S
USC00213417        2064R
USC00213455        2512R
USC00213567        3187R
USC00213793        2601R
USC00213962        3171S
USC00214103        2485R
USC00214106        2406S
USC00214176        3051R
USC00214191        2257Q
USC00214306        2273R
USC00214373        2874Q
USC00214453        3111R
USC00214534        3184S
USC00214546        3238S
USC00214652        2617S
USC00214778        3034S
USC00214793        3177S
USC00214809        2300R
USC00214861        2708S
USC00214884        3629R
USC00214918        1759R
USC00214937        3431R
USC00214994        3248S
USC00215012        2830R
USC00215073        3292R
USC00215175        2256R
USC00215204        3279S
USC00215325        2847R
USC00215392        2751S
USC00215400        3406S
USC00215563        3133R
USC00215586        3051R
USC00215598        2647S
USC00215615        2801R
USC00215638        2943S
USC00215838        3252R
USC00215842        3227S
USC00215887        3378S
USC00215902        2681Q
USC00215989        2351Q
USC00216148        2566R
USC00216152        3115S
USC00216211        2087Q
USC00216228        2975Q
USC00216276        2898R
USC00216287        3225S
USC00216547        2681S
USC00216565        3150S
USC00216612        2550Q
USC00216654        3164S
USC00216787        2627S
USC00216795        2597R
USC00216822        3232R
USC00216839        3268Q
USC00216920        2856Q
USC00217087        2416R
USC00217107        3159S
USC00217149        2894R
USC00217184        3158R
USC00217326        3230S
USC00217377        3284R
USC00217379        3253Q
USC00217405        3389S
USC00217460        2629Q
USC00217502        3148S
USC00217907        3232S
USC00217935        3297Q
USC00218025        3244R
USC00218037        3666R
USC00218039        3064Q
USC00218191        2569R
USC00218227        3190R
USC00218247        2690R
USC00218254        2576R
USC00218307        2325Q
USC00218311        2223S
USC00218323        3258S
USC00218419        2037S
USC00218421        2196R
USC00218429        3129R
USC00218450        3475R
USC00218477        3520R
USC00218579        2550S
USC00218618        2571R
USC00218621        2642Q
USC00218679        2356S
USC00218692        3272S
USC00218700        2391R
USC00218808        3333R
USC00218907        3038S
USC00218947        3026Q
USC00218986        2897R
USC00219004        3137S
USC00219033        3474S
USC00219046        3311S
USC00219067        3691R
USC00219072        3190R
USC00219101        2437R
USC00219134        2073R
USC00219170        3145S
USC00219173        2487S
USC00219249        3028S
USC00220021        6109S
USC00220488        5864R
USC00220521        6795R
USC00220585        6934R
USC00220660        6512S
USC00220792        7579R
USC00220955        5519R
USC00221094        6633S
USC00221111        6340Q
USC00221314        6050S
USC00221389        6352R
USC00221489        6316R
USC00221606        6007R
USC00221707        6000S
USC00221738        6239R
USC00221743        6131R
USC00221852        6657S
USC00221865        7000R
USC00221880        6342R
USC00221962        5524S
USC00222094        6907R
USC00222282        5966Q
USC00222385        6402R
USC00222896        5965R
USC00223107        6416S
USC00223208        5765S
USC00223605        6313R
USC00223645        5899S
USC00223671        7423R
USC00223887        6983S
USC00223920        6976S
USC00223975        6226R
USC00224001        5648S
USC00224173        5497S
USC00224265        5618R
USC00224377        5657R
USC00224455        5356S
USC00224702        6200R
USC00224776        5973R
USC00224869        6144Q
USC00224939        6701S
USC00225062        6023R
USC00225070        6724R
USC00225247        6076R
USC00225361        6286R
USC00225704        6880R
USC00225789        6908R
USC00225897        6351R
USC00225987        6864R
USC00226009        6411S
USC00226177        6811S
USC00226308        6252S
USC00226476        6663R
USC00226527        5676R
USC00226638        6769Q
USC00226718        7043R
USC00226811        6748R
USC00226894        6577S
USC00226921        7133R
USC00226926        6289R
USC00227111        5726S
USC00227128        6941R
USC00227132        6470S
USC00227252        6478R
USC00227276        6226Q
USC00227444        6487R
USC00227467        5442R
USC00227560        6528S
USC00227815        5974Q
USC00227831        6496Q
USC00227840        7559S
USC00227921        5828Q
USC00228374        6137S
USC00228445        6329S
USC00228998        6100S
USC00229004        5974Q
USC00229048        6973R
USC00229079        5980S
USC00229173        6008R
USC00229216        6658R
USC00229230        6638Q
USC00229400        5865S
USC00229426        7198S
USC00229439        6705R
USC00229639        6943R
USC00229743        5823S
USC00229793        7057R
USC00229860        6454R
USC00230051        4291Q
USC00230127        4898R
USC00230143        4253S
USC00230163        4920Q
USC00230164        4993S
USC00230204        4688S
USC00230224        4598R
USC00230304        4877Q
USC00230360        4706Q
USC00230368        4664Q
USC00230608        4071R
USC00230657        4898R
USC00230789        4846S
USC00230817        4712R
USC00230856        4316R
USC00230980        4318S
USC00231037        4364S
USC00231087        4514R
USC00231101        4390R
USC00231145        4832S
USC00231189        4643S
USC00231212        5198R
USC00231275        4243R
USC00231340        4555S
USC00231356        5150R
USC00231364        5444R
USC00231383        4700R
USC00231540        5135R
USC00231580        4577R
USC00231600        4439Q
USC00231640        4453R
USC00231674        5008R
USC00231711        4734S
USC00231748        4604Q
USC00231801        4804R
USC00231822        4163R
USC00232240        4996R
USC00232289        5038R
USC00232302        4752R
USC00232503        4824R
USC00232511        4855R
USC00232568        4418R
USC00232591        4789S
USC00232619        4955Q
USC00232809        4622R
USC00232850        4658R
USC00232981        4501Q
USC00233038        4642R
USC00233043        4489R
USC00233079        4419S
USC00233094        4862R
USC00233102        4249R
USC00233162        4803Q
USC00233369        3998R
USC00233416        3964Q
USC00233451        4744R
USC00233483        4662R
USC00233568        4059R
USC00233601        4287S
USC00233838        4384R
USC00234019        4676R
USC00234154        4567R
USC00234226        5029R
USC00234271        4731S
USC00234382        4443Q
USC00234417        5461R
USC00234544        3999S
USC00234694        4819S
USC00234705        4985S
USC00234825        4744S
USC00234850        4555S
USC00234904        4629S
USC00234919        4660S
USC00234982        4148Q
USC00235027        4775S
USC00235050        4306R
USC00235207        5321R
USC00235227        4664R
USC00235253        4984S
USC00235307        4673C
USC00235340        4129S
USC00235492        3995R
USC00235541        4519R
USC00235671        4440S
USC00235704        4851S
USC00235708        4560Q
USC00235834        4568S
USC00235862        4853S
USC00235950        5081Q
USC00235976        4918R
USC00235987        5091S
USC00236012        4470S
USC00236045        5343R
USC00236302        4162R
USC00236357        4317R
USC00236402        5034R
USC00236460        4850S
USC00236641        4690R
USC00236745        4568R
USC00236777        4855R
USC00236791        5240S
USC00236804        5352S
USC00236826        4562R
USC00236866        4349R
USC00237116        4411Q
USC00237263        4785S
USC00237300        4339R
USC00237309        4715Q
USC00237397        4593S
USC00237398        4831S
USC00237452        5091R
USC00237475        4690R
USC00237506        5114S
USC00237514        4502S
USC00237578        4600S
USC00237632        4452S
USC00237645        4638R
USC00237656        5220Q
USC00237720        4197R
USC00237772        5450R
USC00237862        4446R
USC00237963        4085R
USC00238043        4512R
USC00238051        4591S
USC00238082        4810R
USC00238184        4636R
USC00238223        4608S
USC00238444        4250R
USC00238466        4779R
USC00238515        5000S
USC00238523        4038R
USC00238571        5004R
USC00238577        4333R
USC00238583        4653Q
USC00238603        4539S
USC00238620        5143R
USC00238664        5052Q
USC00238700        5277R
USC00238712        4617R
USC00238725        4448R
USC00238754        4707R
USC00238777        4510S
USC00238805        4642R
USC00238880        4782R
USC00238995        4806R
USC00239032        4668R
USC00239178        4759Q
USC00240075        2748Q
USC00240088        3111R
USC00240110        2206S
USC00240199        2404S
USC00240364        2710R
USC00240375        2071S
USC00240392        2130R
USC00240412        2875Q
USC00240432        3176R
USC00240466        2916R
USC00240554        2592Q
USC00240743        3263S
USC00240755        2388S
USC00240770        3002R
USC00240775        1949R
USC00240780        2970S
USC00240801        3221R
USC00240802        3578S
USC00240819        3503R
USC00240877        2333R
USC00240923        2756R
USC00241008        2477C
USC00241044        2674S
USC00241047        2580S
USC00241050        1885R
USC00241084        3281S
USC00241088        2756S
USC00241102        3014R
USC00241127        3330S
USC00241169        3027S
USC00241262        2363Q
USC00241297        3059S
USC00241470        2623R
USC00241500        2937R
USC00241518        2698S
USC00241525        2870S
USC00241552        2904C
USC00241557        2415S
USC00241692        2677S
USC00241722        2921S
USC00241730        2602Q
USC00241737        2605S
USC00241758        3077S
USC00241875        3034C
USC00241905        2957S
USC00241938        3134S
USC00241974        2520R
USC00241984        2988S
USC00241995        1586S
USC00242104        2216S
USC00242122        3111R
USC00242221        2709R
USC00242275        2316R
USC00242301        2047R
USC00242347        2644S
USC00242409        2563S
USC00242421        2269R
USC00242550        2622Q
USC00242629        1792R
USC00242689        2904S
USC00242738        2283Q
USC00242793        2574S
USC00242827        2772S
USC00242857        2517S
USC00243013        3236S
USC00243089        2819R
USC00243098        3302S
USC00243110        3014S
USC00243113        3046S
USC00243139        2444R
USC00243176        3345S
USC00243378        2888R
USC00243437        1414Q
USC00243445        3114R
USC00243489        1973S
USC00243530        2792S
USC00243557        3147R
USC00243570        2679R
USC00243581        3322S
USC00243617        2517S
USC00243727        2819S
USC00243749        2956Q
USC00243753        2679R
USC00243885        2716R
USC00243915        3597S
USC00243929        3162S
USC00243934        2695Q
USC00243939        2583R
USC00243984        2209R
USC00244007        3063R
USC00244038        1884S
USC00244084        2365S
USC00244180        2941R
USC00244193        2664Q
USC00244241        2977S
USC00244297        2723R
USC00244328        2321S
USC00244345        3172S
USC00244358        3247S
USC00244364        3050S
USC00244368        2914R
USC00244386        3186S
USC00244447        1749R
USC00244506        2993S
USC00244512        2640S
USC00244522        3018R
USC00244530        3120R
USC00244545        2250S
USC00244558        2331S
USC00244560        2398Q
USC00244820        1827R
USC00244839        3072R
USC00244896        2228Q
USC00244954        1922S
USC00245000        2546R
USC00245011        2620R
USC00245015        2873S
USC00245020        2144S
USC00245030        2140S
USC00245040        2306R
USC00245043        2005S
USC00245080        2560S
USC00245123        2496Q
USC00245153        3101C
USC00245285        2562R
USC00245334        3184R
USC00245338        3031S
USC00245340        3092S
USC00245387        2525S
USC00245572        2814S
USC00245596        3376S
USC00245603        2054R
USC00245668        2981S
USC00245712        2193R
USC00245735        2572S
USC00245740        2614Q
USC00245754        3247S
USC00245761        2528C
USC00245870        3290S
USC00245872        3239R
USC00245961        2030S
USC00245983        3270R
USC00246007        2314Q
USC00246008        2436R
USC00246157        3281S
USC00246190        2780S
USC00246218        2133S
USC00246236        2509S
USC00246238        2327S
USC00246304        2204S
USC00246370        2557Q
USC00246472        2295R
USC00246580        2143Q
USC00246586        2914R
USC00246601        3019S
USC00246615        2109R
USC00246618        2188Q
USC00246635        2551S
USC00246640        2701S
USC00246647        3018R
USC00246655        2182R
USC00246672        2733R
USC00246685        2404S
USC00246691        3307S
USC00246862        3029R
USC00246893        2742S
USC00246902        2612C
USC00246918        2320R
USC00246927        2661R
USC00247034        2938S
USC00247136        2921S
USC00247159        2376R
USC00247204        2516Q
USC00247214        3436S
USC00247220        3001Q
USC00247228        2991R
USC00247234        3304R
USC00247247        2781Q
USC00247248        2794Q
USC00247250        2704R
USC00247261        3124Q
USC00247263        2695S
USC00247265        2910R
USC00247286        2846S
USC00247292        2006R
USC00247318        2733R
USC00247342        2828Q
USC00247382        3262S
USC00247425        2748R
USC00247448        2405S
USC00247500        2716R
USC00247540        2532R
USC00247560        3282S
USC00247620        2885R
USC00247740        2605S
USC00247864        2667S
USC00247894        2976S
USC00247964        2396S
USC00247967        2287Q
USC00247978        1581Q
USC00247996        2485R
USC00248021        2772S
USC00248087        2249R
USC00248093        2518R
USC00248165        3106S
USC00248169        2685S
USC00248211        3018S
USC00248233        3000R
USC00248324        2782S
USC00248363        2947R
USC00248380        2551R
USC00248390        2831R
USC00248395        2620R
USC00248415        2728R
USC00248430        2685S
USC00248498        2932R
USC00248501        2600S
USC00248569        2980R
USC00248597        2420C
USC00248777        2494R
USC00248783        2565R
USC00248809        2178S
USC00248857        1804R
USC00248858        2011Q
USC00248902        2182R
USC00248930        2353R
USC00248957        2844S
USC00249023        2026S
USC00249033        2748S
USC00249067        1982S
USC00249082        2102R
USC00249103        3277R
USC00249175        3157R
USC00249187        2224Q
USC00249240        3343S
USC00249900        2346R
USC00250030        3392S
USC00250050        3756S
USC00250070        3675R
USC00250130        3485R
USC00250138        3372Q
USC00250245        3616C
USC00250355        3584R
USC00250365        3606S
USC00250375        4236S
USC00250420        3534S
USC00250435        4462C
USC00250445        3975S
USC00250525        3472R
USC00250622        4166R
USC00250640        4339C
USC00250760        4245S
USC00250865        3926S
USC00250930        3911R
USC00251130        3596R
USC00251145        3887R
USC00251149        3663Q
USC00251189        3607Q
USC00251200        3531S
USC00251213        3517R
USC00251345        3549R
USC00251361        3111Q
USC00251365        3499S
USC00251415        4093R
USC00251450        3903S
USC00251560        4311S
USC00251578        3599Q
USC00251590        3585R
USC00251602        3728Q
USC00251660        3743R
USC00251684        3979S
USC00251825        4000C
USC00251835        3856R
USC00251973        3549R
USC00251990        3735S
USC00252000        3694R
USC00252020        4335S
USC00252037        3700R
USC00252065        4085S
USC00252100        3919R
USC00252145        3306R
USC00252205        3781S
USC00252595        3595R
USC00252647        3218R
USC00252680        4018S
USC00252741        3834R
USC00252770        3578R
USC00252790        3806Q
USC00252805        3863S
USC00252820        4192S
USC00252840        4008S
USC00252980        3773Q
USC00253015        3481Q
USC00253037        4152R
USC00253050        4006S
USC00253065        3963Q
USC00253165        3323R
USC00253175        4263C
USC00253185        3918C
USC00253355        3274S
USC00253365        3904S
USC00253425        3675S
USC00253467        3956Q
USC00253515        4009R
USC00253595        4148R
USC00253605        3386S
USC00253615        2914S
USC00253617        2918Q
USC00253618        3337Q
USC00253630        3642S
USC00253652        3615Q
USC00253660        3946S
USC00253710        3329R
USC00253715        3466R
USC00253735        4211S
USC00253755        3317C
USC00253810        3727R
USC00253910        3883S
USC00254035        3613R
USC00254100        3286R
USC00254101        3326Q
USC00254110        3763S
USC00254335        3827R
USC00254432        3523R
USC00254440        3204S
USC00254455        3692S
USC00254755        3806Q
USC00254900        3693S
USC00254903        3523R
USC00254985        3836S
USC00255040        3716R
USC00255080        3689S
USC00255090        3832S
USC00255250        3730R
USC00255362        3953S
USC00255388        4124S
USC00255470        3569R
USC00255565        4044S
USC00255590        3517R
USC00255655        3781Q
USC00255700        3762R
USC00255702        3491R
USC00255810        4148S
USC00255868        3400R
USC00255925        3380S
USC00255960        4118R
USC00255997        3586R
USC00256018        3532R
USC00256040        3762S
USC00256075        3670S
USC00256135        3615C
USC00256167        3737S
USC00256200        3860S
USC00256290        3576C
USC00256375        3854S
USC00256385        3673S
USC00256395        3705S
USC00256439        3996R
USC00256454        4073R
USC00256570        4331S
USC00256765        3285Q
USC00256970        3674R
USC00257002        4019R
USC00257040        3717S
USC00257055        3972Q
USC00257070        4071S
USC00257110        3941S
USC00257318        3594R
USC00257401        4311Q
USC00257415        3280R
USC00257515        4164S
USC00257667        3606Q
USC00257715        4067S
USC00257830        3523R
USC00258088        3990Q
USC00258090        3529R
USC00258110        3923R
USC00258117        3687Q
USC00258133        3648R
USC00258320        4235C
USC00258328        4225R
USC00258360        3463R
USC00258395        4189S
USC00258410        4197Q
USC00258455        3653Q
USC00258465        4188S
USC00258480        3763S
USC00258628        4178S
USC00258650        3520R
USC00258751        3676R
USC00258755        3827R
USC00258795        4063R
USC00258875        4067R
USC00258905        3981R
USC00258915        3875S
USC00258920        3739S
USC00258935        3864S
USC00259020        3939Q
USC00259045        3616R
USC00259090        4075S
USC00259193        3832Q
USC00259200        3778S
USC00259510        4371S
USC00259513        3988Q
USC00260125        7654Q
USC00260150        6265S
USC00260438        2583R
USC00260507        3105R
USC00260718        5223R
USC00260795        3472R
USC00260800        3140S
USC00260955        3950S
USC00261071        6937R
USC00261327        6363R
USC00261358        4339R
