"","station","precip_qual","precip","qual","lat","long"
"958","USC00101663","839R",839,"R",44.5036,-114.2397
"959","USC00101671","804R",804,"R",43.9772,-113.8289
"960","USC00101956","2568R",2568,"R",47.6822,-116.7967
"961","USC00102159","2229S",2229,"S",46.0336,-116.3919
"962","USC00102246","2112R",2112,"R",46.2333,-116.4833
"963","USC00102260","1561R",1561,"R",43.465,-113.5581
"964","USC00102444","997R",997,"R",43.5764,-116.7475
"965","USC00102575","2491R",2491,"R",45.5525,-115.4606
"966","USC00102707","1290S",1290,"S",44.2436,-112.2006
"967","USC00102845","2494S",2494,"S",46.5022,-116.3217
"968","USC00102875","3068R",3068,"R",45.8356,-115.4611
"969","USC00102942","1381S",1381,"S",43.8544,-116.4664
"970","USC00103110","1192R",1192,"R",43.3167,-114.75
"971","USC00103143","3828R",3828,"R",46.0931,-115.5356
"972","USC00103297","1127R",1127,"R",43.0428,-112.4133
"973","USC00103448","2652R",2652,"R",44.1011,-115.9694
"974","USC00103554","1743R",1743,"R",45.5394,-113.9275
"975","USC00103732","1547S",1547,"S",42.5872,-111.7275
"976","USC00103760","715R",715,"R",43.0175,-116.1772
"977","USC00103771","2359R",2359,"R",45.9414,-116.1175
"978","USC00103882","1365R",1365,"R",43.7186,-113.5472
"979","USC00103932","1018R",1018,"R",42.8114,-114.9239
"980","USC00103964","962R",962,"R",43.9664,-112.2642
"981","USC00104140","1091S",1091,"S",42.5972,-114.1378
"982","USC00104150","4017R",4017,"R",46.6311,-115.8086
"983","USC00104268","1409R",1409,"R",43.2994,-115.0733
"984","USC00104384","778R",778,"R",43.7828,-113.0033
"985","USC00104442","2241R",2241,"R",43.8383,-115.8319
"986","USC00104455","1425R",1425,"R",43.5133,-112.0128
"987","USC00104456","1629S",1629,"S",43.3456,-111.7847
"988","USC00104598","2624R",2624,"R",44.4189,-111.3714
"989","USC00104670","1071S",1071,"S",42.7325,-114.5192
"990","USC00104793","2431R",2431,"R",46.2297,-116.0336
"991","USC00104831","3375R",3375,"R",47.5339,-116.1222
"992","USC00104845","1796R",1796,"R",43.6842,-114.3603
"993","USC00105013","2435R",2435,"R",46.0714,-115.9336
"994","USC00105275","1126S",1126,"S",42.1231,-111.3139
"995","USC00105462","979R",979,"R",43.9181,-113.6317
"996","USC00105563","1065R",1065,"R",42.2917,-113.3042
"997","USC00105567","973R",973,"R",42.3019,-113.335
"998","USC00105678","1244R",1244,"R",42.6681,-112.9981
"999","USC00105685","867R",867,"R",44.5664,-113.8953
"1000","USC00105708","2572S",2572,"S",44.8869,-116.1047
"1001","USC00105716","1661R",1661,"R",42.6447,-112.1919
"1002","USC00105897","1610R",1610,"R",44.7189,-115.015
"1003","USC00105980","953R",953,"R",42.6767,-113.5003
"1004","USC00106152","2707S",2707,"S",46.7281,-116.9558
"1005","USC00106174","1055R",1055,"R",43.1261,-115.7119
"1006","USC00106230","3796R",3796,"R",47.4714,-115.8
"1007","USC00106305","1094S",1094,"S",43.6039,-116.5753
"1008","USC00106424","1985S",1985,"S",46.2358,-116.2467
"1009","USC00106542","1133S",1133,"S",42.2342,-113.8981
"1010","USC00106586","2191R",2191,"R",44.1758,-116.2828
"1011","USC00106844","1020R",1020,"R",43.8022,-116.9442
"1012","USC00106877","1008R",1008,"R",42.6283,-113.7622
"1013","USC00106891","1116R",1116,"R",44.0764,-116.9311
"1014","USC00107040","1295R",1295,"R",43.3111,-114.0742
"1015","USC00107046","4243R",4243,"R",46.4922,-115.8006
"1016","USC00107208","1359R",1359,"R",42.8917,-112.4086
"1017","USC00107264","2077R",2077,"R",48.9994,-116.4992
"1018","USC00107301","2591R",2591,"R",46.9603,-116.855
"1019","USC00107320","3768R",3768,"R",46.51,-114.7111
"1020","USC00107346","1747R",1747,"R",42.0933,-111.8683
"1021","USC00107386","3146R",3146,"R",48.3514,-116.8356
"1022","USC00107644","1336R",1336,"R",43.8083,-111.7892
"1023","USC00107648","1027S",1027,"S",43.2064,-116.7494
"1024","USC00107673","1106S",1106,"S",43.0528,-114.1581
"1025","USC00107706","1721R",1721,"R",45.4239,-116.315
"1026","USC00107968","995R",995,"R",42.6042,-113.7575
"1027","USC00108022","1454R",1454,"R",43.9517,-111.6789
"1028","USC00108062","3053R",3053,"R",47.3164,-116.5789
"1029","USC00108080","951R",951,"R",45.1875,-113.9008
"1030","USC00108137","3391R",3391,"R",48.2942,-116.5628
"1031","USC00108380","1061R",1061,"R",42.9383,-114.4169
"1032","USC00108535","1593R",1593,"R",42.6514,-111.5833
"1033","USC00108676","1225R",1225,"R",44.2206,-114.9342
"1034","USC00108928","820R",820,"R",43.2436,-116.3783
"1035","USC00108937","1874R",1874,"R",43.4447,-111.2939
"1036","USC00109000","1496R",1496,"R",45.1017,-114.8508
"1037","USC00109293","953R",953,"R",42.5808,-114.4569
"1038","USC00109303","1112S",1112,"S",42.5458,-114.3461
"1039","USC00109498","3844R",3844,"R",47.4753,-115.9314
"1040","USC00109638","1262R",1262,"R",44.2456,-116.9697
"1041","USC00109846","2252R",2252,"R",46.2375,-116.6225
"1042","USC00109951","2683R",2683,"R",44.8542,-115.5114
"1043","USC00109963","2181R",2181,"R",45.545,-115.2514
"1044","USC00110072","3729R",3729,"R",41.1961,-90.7478
"1045","USC00110137","4130R",4130,"R",38.8661,-90.1461
"1046","USC00110187","5038S",5038,"S",37.4814,-89.2344
"1047","USC00110203","3668R",3668,"R",42.4811,-88.0994
"1048","USC00110338","3769R",3769,"R",41.7806,-88.3092
"1049","USC00110356","3708S",3708,"S",40.7086,-90.3628
"1050","USC00110442","3817R",3817,"R",42.1153,-88.1639
"1051","USC00110598","3942S",3942,"S",40.3436,-91.1125
"1052","USC00110608","4460R",4460,"R",38.0336,-88.9203
"1053","USC00110993","4822S",4822,"S",37.1275,-88.6531
"1054","USC00111020","4097R",4097,"R",38.9544,-88.9583
"1055","USC00111160","4273R",4273,"R",38.5669,-90.1942
"1056","USC00111265","4717S",4717,"S",37.7308,-89.1658
"1057","USC00111280","3906R",3906,"R",39.2883,-89.8703
"1058","USC00111290","4350R",4350,"R",38.6308,-89.3658
"1059","USC00111302","4742R",4742,"R",38.0733,-88.1805
"1060","USC00111420","3650S",3650,"S",41.3978,-88.2819
"1061","USC00111436","4267R",4267,"R",39.4761,-88.1653
"1062","USC00111475","3552R",3552,"R",40.7394,-88.7108
"1063","USC00111497","3775S",3775,"S",42.1406,-87.7867
"1064","USC00111836","3784R",3784,"R",40.6211,-89.2414
"1065","USC00112140","4202S",4202,"S",40.1392,-87.6481
"1066","USC00112193","4032R",4032,"R",39.8289,-88.9506
"1067","USC00112223","3698S",3698,"S",41.9342,-88.7756
"1068","USC00112348","3840S",3840,"S",41.8472,-89.5047
"1069","USC00112353","4928R",4928,"R",37.4389,-88.6678
"1070","USC00112483","4630S",4630,"S",37.9878,-89.1931
"1071","USC00112500","3677R",3677,"R",41.1072,-88.4111
"1072","USC00112736","3776R",3776,"R",42.0628,-88.2861
"1073","USC00112745","3668R",3668,"R",42.3161,-90.2269
"1074","USC00112931","4426S",4426,"S",38.3806,-88.3264
"1075","USC00112993","3859R",3859,"R",40.2539,-88.7075
"1076","USC00113109","4457S",4457,"S",38.7103,-88.5758
"1077","USC00113262","3606S",3606,"S",42.2972,-89.6039
"1078","USC00113290","3360R",3360,"R",41.8978,-90.1544
"1079","USC00113320","3808S",3808,"S",40.9464,-90.3856
"1080","USC00113335","3778R",3778,"R",41.1739,-90.035
"1081","USC00113384","3781R",3781,"R",41.4511,-90.1486
"1082","USC00113413","3672R",3672,"R",40.4731,-88.3653
"1083","USC00113455","3675R",3675,"R",40.8822,-91.0233
"1084","USC00113530","3966R",3966,"R",40.1064,-91.0222
"1085","USC00113580","4900R",4900,"R",37.2036,-89.0422
"1086","USC00113717","3858R",3858,"R",39.7378,-90.7086
"1087","USC00113879","4746R",4746,"R",37.7408,-88.5244
"1088","USC00113940","3980R",3980,"R",40.3031,-90.0656
"1089","USC00114013","3618R",3618,"R",41.2647,-89.3381
"1090","USC00114108","4139R",4139,"R",39.15,-89.4833
"1091","USC00114198","3936S",3936,"S",40.4742,-87.6564
"1092","USC00114317","4473R",4473,"R",39.1331,-87.6586
"1093","USC00114400","4395R",4395,"R",38.4931,-88.9703
"1094","USC00114442","3945S",3945,"S",39.7347,-90.1978
"1095","USC00114489","4060S",4060,"S",39.1053,-90.3419
"1096","USC00114530","3681S",3681,"S",41.5033,-88.1028
"1097","USC00114603","3916S",3916,"S",41.1381,-87.8856
"1098","USC00114629","4294R",4294,"R",37.9842,-89.9492
"1099","USC00114710","3760R",3760,"R",41.2428,-89.8997
"1100","USC00114780","4062R",4062,"R",40.9033,-90.2892
"1101","USC00114805","3783S",3783,"S",41.0411,-89.4061
"1102","USC00114823","3982S",3982,"S",40.5839,-90.9686
"1103","USC00114837","3677R",3677,"R",42.4308,-88.0594
"1104","USC00114957","4551S",4551,"S",38.7267,-87.69
"1105","USC00115079","3960R",3960,"R",40.1514,-89.3381
"1106","USC00115326","3551R",3551,"R",42.2636,-88.6078
"1107","USC00115342","4854R",4854,"R",37.7747,-88.8981
"1108","USC00115372","3837S",3837,"S",41.3286,-88.7533
"1109","USC00115413","3698R",3698,"R",40.2272,-89.6947
"1110","USC00115430","4010S",4010,"S",39.4725,-88.3544
"1111","USC00115493","3489R",3489,"R",42.3103,-88.2525
"1112","USC00115515","4588R",4588,"R",38.0844,-88.5425
"1113","USC00115712","3767R",3767,"R",40.9125,-89.0342
"1114","USC00115768","3938S",3938,"S",40.9442,-90.6381
"1115","USC00115772","3852R",3852,"R",40.9361,-90.7197
"1116","USC00115825","3791R",3791,"R",41.3708,-88.4336
"1117","USC00115833","3776R",3776,"R",41.8039,-89.9744
"1118","USC00115841","3738S",3738,"S",39.4158,-89.4614
"1119","USC00115888","4594R",4594,"R",38.4106,-87.7578
"1120","USC00115901","3964S",3964,"S",42.0981,-89.9842
"1121","USC00115943","4340S",4340,"S",38.3483,-88.8533
"1122","USC00115950","3903R",3903,"R",39.5878,-89.0158
"1123","USC00115961","3655R",3655,"R",42.2553,-88.0769
"1124","USC00116011","4012S",4012,"S",38.3431,-89.3586
"1125","USC00116080","3502S",3502,"S",41.1922,-91.0578
"1126","USC00116157","4412R",4412,"R",38.9917,-88.1828
"1127","USC00116159","4256R",4256,"R",38.9136,-88.1183
"1128","USC00116200","3934S",3934,"S",40.5492,-88.9497
"1129","USC00116383","4860R",4860,"R",37.1742,-89.3506
"1130","USC00116446","4742S",4742,"S",38.7003,-88.0817
"1131","USC00116526","3572S",3572,"S",41.3283,-88.9106
"1132","USC00116558","4425R",4425,"R",39.0028,-87.6225
"1133","USC00116579","4110R",4110,"R",39.3722,-89.0242
"1134","USC00116610","4235S",4235,"S",39.6186,-87.6672
"1135","USC00116616","4103S",4103,"S",41.4947,-87.6803
"1136","USC00116661","3652R",3652,"R",41.7122,-88.9989
"1137","USC00116663","3818R",3818,"R",40.4547,-88.1417
"1138","USC00116738","3921R",3921,"R",39.8058,-90.8236
"1139","USC00116753","3794S",3794,"S",41.3503,-89.1072
"1140","USC00116819","4035R",4035,"R",40.7569,-88.1828
"1141","USC00116837","4146R",4146,"R",39.6222,-90.8058
"1142","USC00116897","3926R",3926,"R",42.0347,-89.6119
"1143","USC00116910","3665R",3665,"R",40.8853,-88.6389
"1144","USC00116998","3956R",3956,"R",41.3761,-89.4642
"1145","USC00117004","3842R",3842,"R",40.9314,-89.7797
"1146","USC00117077","3671R",3671,"R",39.9058,-91.4281
"1147","USC00117126","4052S",4052,"S",39.1483,-89.1022
"1148","USC00117187","4416R",4416,"R",38.0406,-88.9883
"1149","USC00117345","4252R",4252,"R",39.0061,-87.7769
"1150","USC00117354","3436S",3436,"S",41.9117,-89.0708
"1151","USC00117391","3706R",3706,"R",41.5181,-90.5647
"1152","USC00117457","4007R",4007,"R",41.6042,-88.085
"1153","USC00117487","4986R",4986,"R",37.4747,-88.4122
"1154","USC00117551","4016R",4016,"R",40.1347,-90.4792
"1155","USC00117636","4388C",4388,"C",38.6453,-88.9461
"1156","USC00117876","3929R",3929,"R",39.4067,-88.7747
"1157","USC00117952","4018S",4018,"S",39.9811,-87.8769
"1158","USC00118020","4814S",4814,"S",37.1644,-88.4311
"1159","USC00118147","4489R",4489,"R",38.1167,-89.7167
"1160","USC00118293","3663S",3663,"S",42.4006,-89.9958
"1161","USC00118324","3797R",3797,"R",42.0256,-88.1783
"1162","USC00118389","3977R",3977,"R",39.5608,-88.6067
"1163","USC00118684","4095R",4095,"R",39.795,-88.29
"1164","USC00118740","4138S",4138,"S",40.0839,-88.2403
"1165","USC00118781","4127R",4127,"R",38.9703,-89.0922
"1166","USC00118860","3750R",3750,"R",39.5061,-89.7689
"1167","USC00118916","3581R",3581,"R",41.5519,-89.5989
"1168","USC00119002","4318R",4318,"R",38.3664,-90.1619
"1169","USC00119021","3836R",3836,"R",40.7928,-87.7556
"1170","USC00119221","3878R",3878,"R",41.8128,-88.0728
"1171","USC00119241","3822S",3822,"S",39.4411,-90.3789
"1172","USC00119354","4048R",4048,"R",39.4458,-88.5961
"1173","USC00120177","4144R",4144,"R",40.1117,-85.7164
"1174","USC00120200","3898S",3898,"S",41.6397,-84.9897
"1175","USC00120331","3913R",3913,"R",40.2839,-87.1964
"1176","USC00120676","3951R",3951,"R",40.6683,-84.9305
"1177","USC00120784","4736S",4736,"S",39.1742,-86.5214
"1178","USC00120830","3832S",3832,"S",40.7475,-85.1739
"1179","USC00120852","4879R",4879,"R",38.0303,-87.2736
"1180","USC00120858","3877R",3877,"R",40.535,-87.453
"1181","USC00121030","4319S",4319,"S",39.4239,-85.0128
"1182","USC00121229","4285R",4285,"R",39.8667,-85.1833
"1183","USC00121417","3935R",3935,"R",40.6653,-86.955
"1184","USC00121425","4526R",4526,"R",38.65,-85.7
"1185","USC00121739","3989R",3989,"R",41.1453,-85.4897
"1186","USC00121747","4421S",4421,"S",39.1661,-85.9228
"1187","USC00121873","4310R",4310,"R",40.0028,-86.8011
"1188","USC00122096","3700S",3700,"S",40.8483,-84.93
"1189","USC00122149","3866R",3866,"R",40.615,-86.6661
"1190","USC00122309","4849R",4849,"R",38.4558,-86.6983
"1191","USC00122638","4106R",4106,"R",40.2872,-85.8453
"1192","USC00122660","4938R",4938,"R",38.2789,-86.4683
"1193","USC00122731","4681R",4681,"R",37.9647,-87.5783
"1194","USC00122825","3940S",3940,"S",40.2539,-85.1483
"1195","USC00123078","3855R",3855,"R",40.9842,-86.8872
"1196","USC00123082","4111S",4111,"S",40.2986,-86.5067
"1197","USC00123104","4573S",4573,"S",38.8672,-87.3083
"1198","USC00123207","3938R",3938,"R",41.3367,-85.1197
"1199","USC00123418","3941R",3941,"R",41.5575,-85.8825
"1200","USC00123513","4553S",4553,"S",39.6439,-86.8767
"1201","USC00123527","4581S",4581,"S",39.7858,-85.7611
"1202","USC00123547","4559R",4559,"R",39.3475,-85.4892
"1203","USC00123777","3971R",3971,"R",40.4356,-85.2892
"1204","USC00124181","3902R",3902,"R",40.8556,-85.4981
"1205","USC00124244","3914R",3914,"R",41.6317,-87.0881
"1206","USC00124272","4341R",4341,"R",39.7164,-86.0678
"1207","USC00124356","4284R",4284,"R",39.9233,-86.5983
"1208","USC00124527","3908R",3908,"R",40.7592,-87.4353
"1209","USC00124657","4160R",4160,"R",41.3053,-86.6286
"1210","USC00124662","4294S",4294,"S",40.4583,-86.1758
"1211","USC00124715","3891R",3891,"R",40.2964,-86.9028
"1212","USC00124730","3778R",3778,"R",41.6292,-85.4142
"1213","USC00124782","4156R",4156,"R",41.5269,-86.2692
"1214","USC00124837","4271S",4271,"S",41.6117,-86.7297
"1215","USC00125117","4019S",4019,"S",40.7478,-86.3878
"1216","USC00125174","3946R",3946,"R",41.2647,-87.4178
"1217","USC00125237","4791R",4791,"R",38.7369,-85.3942
"1218","USC00125337","4052S",4052,"S",40.58,-85.6586
"1219","USC00125407","4473R",4473,"R",39.4039,-86.453
"1220","USC00126001","4594R",4594,"R",37.9286,-87.8956
"1221","USC00126164","4244S",4244,"S",39.8942,-85.3953
"1222","USC00126435","4668R",4668,"R",39.0017,-85.5997
"1223","USC00126506","4380R",4380,"R",39.9,-85.9833
"1224","USC00126580","4622S",4622,"S",38.8894,-86.5519
"1225","USC00126705","4772R",4772,"R",38.5556,-86.4858
"1226","USC00126830","3940S",3940,"S",40.0739,-87.5067
"1227","USC00126872","4673R",4673,"R",38.465,-87.2658
"1228","USC00126989","4044R",4044,"R",41.3392,-86.3358
"1229","USC00127069","3772R",3772,"R",40.4175,-84.9925
"1230","USC00127102","3691R",3691,"R",41.64,-85.1967
"1231","USC00127125","4890R",4890,"R",38.3567,-87.5906
"1232","USC00127298","3939R",3939,"R",40.9356,-87.1564
"1233","USC00127370","4070S",4070,"S",39.8544,-84.8778
"1234","USC00127482","4070S",4070,"S",41.0664,-86.2097
"1235","USC00127522","4781R",4781,"R",39.7594,-87.2269
"1236","USC00127646","4447R",4447,"R",39.6042,-85.4528
"1237","USC00127724","4730S",4730,"S",38.1642,-86.8094
"1238","USC00127755","4561R",4561,"R",38.6158,-86.0856
"1239","USC00127875","4707R",4707,"R",38.6886,-85.785
"1240","USC00127935","4741S",4741,"S",38.9822,-85.8989
"1241","USC00127999","4193R",4193,"R",39.5283,-85.7914
"1242","USC00128036","4838S",4838,"S",38.5528,-86.7944
"1243","USC00128290","4812R",4812,"R",39.2836,-86.7703
"1244","USC00128698","4841R",4841,"R",37.9531,-86.7747
"1245","USC00128723","4383R",4383,"R",39.4708,-87.4081
"1246","USC00128784","3961R",3961,"R",40.2233,-86.1086
"1247","USC00128967","4722R",4722,"R",37.7953,-87.993
"1248","USC00128999","4078R",4078,"R",41.5114,-87.0378
"1249","USC00129080","4581R",4581,"R",38.7436,-85.0761
"1250","USC00129113","4604R",4604,"R",38.7386,-87.4878
"1251","USC00129138","4101R",4101,"R",40.7869,-85.8208
"1252","USC00129222","3859S",3859,"S",41.4439,-86.9294
"1253","USC00129240","3888R",3888,"R",41.2633,-85.8678
"1254","USC00129253","4790R",4790,"R",38.6489,-87.1989
"1255","USC00129430","3819S",3819,"S",40.475,-86.9919
"1256","USC00129511","4050R",4050,"R",41.1947,-87.0578
"1257","USC00129557","4275S",4275,"S",39.9961,-86.3542
"1258","USC00129670","3890R",3890,"R",41.0267,-86.5867
"1259","USC00129678","3962R",3962,"R",40.1714,-84.9208
"1260","USC00129905","3908R",3908,"R",40.5614,-86.3425
"1261","USC00130112","3780S",3780,"S",41.0656,-92.7867
"1262","USC00130133","3219R",3219,"R",43.0683,-94.3053
"1263","USC00130157","3442R",3442,"R",42.7536,-92.8022
"1264","USC00130200","3583R",3583,"R",42.0208,-93.7742
"1265","USC00130203","3680S",3680,"S",41.9519,-93.5656
"1266","USC00130213","3784R",3784,"R",42.1117,-91.2933
"1267","USC00130241","3609R",3609,"R",41.7183,-93.5742
"1268","USC00130364","3689R",3689,"R",41.4175,-95.0039
"1269","USC00130385","3466R",3466,"R",41.7069,-94.9222
"1270","USC00130536","3701R",3701,"R",40.8236,-94.0475
"1271","USC00130576","3723R",3723,"R",40.6742,-94.7244
"1272","USC00130600","3617R",3617,"R",41.8814,-92.2764
"1273","USC00130608","3566S",3566,"S",42.2614,-90.4233
"1274","USC00130753","3943S",3943,"S",40.7597,-92.4394
"1275","USC00130807","3835S",3835,"S",42.0417,-93.8906
"1276","USC00130923","3344R",3344,"R",43.1017,-93.8014
"1277","USC00131060","4044S",4044,"S",40.7747,-91.1164
"1278","USC00131233","3431R",3431,"R",42.065,-94.85
"1279","USC00131257","3585R",3585,"R",42.2989,-90.9983
"1280","USC00131277","3186R",3186,"R",42.0633,-95.8364
"1281","USC00131319","3759S",3759,"S",42.05,-91.5881
"1282","USC00131354","3747R",3747,"R",40.7364,-92.8692
"1283","USC00131394","3751S",3751,"S",41.0164,-93.2792
"1284","USC00131402","3481S",3481,"S",43.0775,-92.6714
"1285","USC00131442","3072S",3072,"S",42.7572,-95.5378
"1286","USC00131533","3611S",3611,"S",40.7244,-95.0192
"1287","USC00131541","3367R",3367,"R",42.72,-93.7336
"1288","USC00131635","3459S",3459,"S",41.7947,-90.2639
"1289","USC00131710","3647R",3647,"R",42.0169,-93.3189
"1290","USC00131731","3868R",3868,"R",41.2864,-91.3611
"1291","USC00131833","3500R",3500,"R",40.9886,-94.7492
"1292","USC00131954","3642S",3642,"S",43.3894,-92.0939
"1293","USC00131962","3548R",3548,"R",41.0372,-94.3942
"1294","USC00132110","3468R",3468,"R",43.3042,-91.7953
"1295","USC00132171","3226S",3226,"S",42.0364,-95.3289
"1296","USC00132209","3561R",3561,"R",41.7367,-93.7236
"1297","USC00132299","3906S",3906,"S",40.6458,-91.5639
"1298","USC00132364","3625S",3625,"S",42.5397,-90.6464
"1299","USC00132573","3621R",3621,"R",42.3619,-93.0989
"1300","USC00132603","3630R",3630,"R",42.7753,-91.4536
"1301","USC00132689","3240R",3240,"R",43.1025,-94.6833
"1302","USC00132789","3808R",3808,"R",41.0211,-91.9553
"1303","USC00132864","3773S",3773,"S",42.8503,-91.8158
"1304","USC00132999","3563R",3563,"R",42.5836,-94.2006
"1305","USC00133007","3962R",3962,"R",40.6211,-91.3261
"1306","USC00133290","3364R",3364,"R",41.0097,-95.7736
"1307","USC00133438","3526S",3526,"S",41.2981,-94.4561
"1308","USC00133473","3659S",3659,"S",41.7203,-92.7489
"1309","USC00133487","3540S",3540,"S",42.3647,-92.7594
"1310","USC00133509","3678R",3678,"R",41.6686,-94.4972
"1311","USC00133517","3428S",3428,"S",42.7858,-91.0958
"1312","USC00133584","3648R",3648,"R",42.7561,-93.2011
"1313","USC00133632","3352S",3352,"S",41.6783,-95.3247
"1314","USC00133718","2883R",2883,"R",43.0031,-96.485
"1315","USC00133909","3319S",3319,"S",42.4897,-95.5489
"1316","USC00133985","3344R",3344,"R",42.7181,-94.2689
"1317","USC00134038","3099R",3099,"R",42.3942,-95.515
"1318","USC00134049","3653R",3653,"R",42.5269,-91.8781
"1319","USC00134063","3627S",3627,"S",41.3656,-93.6481
"1320","USC00134101","3759S",3759,"S",41.6092,-91.505
"1321","USC00134142","3668R",3668,"R",42.5189,-93.2536
"1322","USC00134228","3410S",3410,"S",42.0347,-94.4114
"1323","USC00134381","3920S",3920,"S",40.3967,-91.375
"1324","USC00134389","3985R",3985,"R",40.7308,-91.9608
"1325","USC00134502","3805R",3805,"R",41.3247,-93.1008
"1326","USC00134561","3043R",3043,"R",43.4483,-95.3247
"1327","USC00134585","4103S",4103,"S",40.6233,-93.9508
"1328","USC00134705","3602R",3602,"R",41.5697,-90.3956
"1329","USC00134735","2822R",2822,"R",42.7817,-96.1458
"1330","USC00134758","3813S",3813,"S",40.7244,-93.6453
"1331","USC00134894","3353S",3353,"S",41.6381,-95.7883
"1332","USC00134963","3804R",3804,"R",41.8564,-90.93
"1333","USC00135086","3660S",3660,"S",42.4733,-91.4517
"1334","USC00135123","3170R",3170,"R",42.1619,-95.7836
"1335","USC00135131","3605R",3605,"R",42.0494,-90.7489
"1336","USC00135198","3735S",3735,"S",42.0647,-92.9244
"1337","USC00135230","3520S",3520,"S",43.1631,-93.1953
"1338","USC00135493","2960R",2960,"R",43.3828,-95.1842
"1339","USC00135769","3611R",3611,"R",40.7053,-94.2428
"1340","USC00135796","3839R",3839,"R",40.9486,-91.5647
"1341","USC00135837","3853S",3853,"S",41.4075,-91.0725
"1342","USC00135844","3725R",3725,"R",41.4714,-91.0464
"1343","USC00135952","3830S",3830,"S",43.0453,-92.3122
"1344","USC00135992","3552R",3552,"R",41.7117,-93.0297
"1345","USC00136103","3433R",3433,"R",43.4386,-93.2253
"1346","USC00136151","3536R",3536,"R",41.3044,-95.3844
"1347","USC00136200","3636R",3636,"R",42.6467,-91.9131
"1348","USC00136243","3053S",3053,"S",42.0697,-96.1258
"1349","USC00136305","3592R",3592,"R",43.2794,-92.8106
"1350","USC00136316","3799R",3799,"R",41.0194,-93.7503
"1351","USC00136327","3822R",3822,"R",41.3214,-92.6467
"1352","USC00136566","3423R",3423,"R",41.8394,-94.1106
"1353","USC00136719","3355R",3355,"R",42.7292,-94.6614
"1354","USC00136766","3588R",3588,"R",43.09,-91.5581
"1355","USC00136800","3046R",3046,"R",43.0864,-95.6292
"1356","USC00136910","3888R",3888,"R",40.825,-92.8925
"1357","USC00136940","3653S",3653,"S",41.0036,-95.2419
"1358","USC00137147","2859R",2859,"R",43.43,-96.1686
"1359","USC00137161","3298R",3298,"R",42.3969,-94.6292
"1360","USC00137312","3394R",3394,"R",42.4194,-94.9761
"1361","USC00137386","2993S",2993,"S",43.1792,-95.6603
"1362","USC00137594","3049S",3049,"S",43.1808,-95.8528
"1363","USC00137613","3634R",3634,"R",40.7672,-95.38
"1364","USC00137664","2883R",2883,"R",43.4403,-95.7225
"1365","USC00137669","3404R",3404,"R",40.7453,-95.6422
"1366","USC00137678","3700R",3700,"R",41.3328,-92.1975
"1367","USC00137700","2983S",2983,"S",43.0558,-96.1525
"1368","USC00137726","3158S",3158,"S",42.8931,-95.0653
"1369","USC00137844","2951S",2951,"S",43.1653,-95.1467
"1370","USC00137859","2831R",2831,"R",43.4231,-95.1394
"1371","USC00137979","3467R",3467,"R",42.6347,-95.1694
"1372","USC00138026","3134R",3134,"R",43.4022,-94.3831
"1373","USC00138266","3536R",3536,"R",41.7797,-91.1269
"1374","USC00138296","3524S",3524,"S",42.0356,-92.5806
"1375","USC00138339","3666R",3666,"R",42.8125,-92.2575
"1376","USC00138568","3665S",3665,"S",42.1703,-92.0078
"1377","USC00138688","3649R",3649,"R",41.2828,-91.7067
"1378","USC00138806","3584R",3584,"R",42.4686,-93.7972
"1379","USC00139067","3738R",3738,"R",41.6403,-91.9783
"1380","USC00139132","3484R",3484,"R",41.3561,-94.0128
"1381","USC00140010","3293S",3293,"S",38.9267,-97.2128
"1382","USC00140201","2804R",2804,"R",39.4767,-98.9714
"1383","USC00140365","2278S",2278,"S",37.1942,-99.7633
"1384","USC00140405","3672S",3672,"S",39.5756,-95.1108
"1385","USC00140439","2284S",2284,"S",39.7997,-101.0422
"1386","USC00140682","3060R",3060,"R",39.8183,-97.6375
"1387","USC00140693","2792S",2792,"S",39.4575,-98.1125
"1388","USC00140865","2586R",2586,"R",38.5636,-99.235
"1389","USC00140957","4073S",4073,"S",39.0636,-94.8958
"1390","USC00141029","2052R",2052,"R",39.3686,-101.4467
"1391","USC00141179","2706R",2706,"R",39.8775,-98.3036
"1392","USC00141351","3562R",3562,"R",38.0325,-96.6797
"1393","USC00141383","2195R",2195,"R",38.7978,-99.7231
"1394","USC00141408","3539R",3539,"R",39.7242,-96.1258
"1395","USC00141522","2247S",2247,"S",37.8131,-100.3456
"1396","USC00141559","3093S",3093,"S",39.3739,-97.1275
"1397","USC00141612","3778R",3778,"R",38.9408,-95.3397
"1398","USC00141699","2065S",2065,"S",39.3925,-101.0689
"1399","USC00141704","2569S",2569,"S",37.2706,-99.3272
"1400","USC00141740","4534S",4534,"S",37.1764,-94.8397
"1401","USC00141858","3819S",3819,"S",38.3703,-96.5483
"1402","USC00141867","3461S",3461,"S",38.6758,-96.5097
"1403","USC00142401","3709S",3709,"S",37.8183,-96.8444
"1404","USC00142432","1832S",1832,"S",37.0058,-101.8867
"1405","USC00142459","2975R",2975,"R",38.7278,-98.2267
"1406","USC00142548","3739R",3739,"R",38.4294,-96.2189
"1407","USC00142602","3746R",3746,"R",38.8592,-96.1058
"1408","USC00142622","3969S",3969,"S",37.8253,-96.2644
"1409","USC00142686","3981R",3981,"R",37.6475,-96.0781
"1410","USC00142773","3336R",3336,"R",38.2422,-96.9242
"1411","USC00142835","4504S",4504,"S",37.8428,-94.7086
